Tm,G,MP,PER,USG%,Season
NOH,82,2614,11.8,16.8,2009
LAL,50,1446,20.0,20.7,2009
DET,57,803,17.4,27.9,2009
TOR,68,2333,18.8,16.9,2009
LAC,62,1925,18.7,15.8,2009
MIN,64,909,8.1,11.5,2009
MIN,67,1199,12.1,18.6,2009
TOT,55,616,5.5,16.4,2009
CHA,34,475,7.0,17.1,2009
DAL,21,141,0.5,13.9,2009
DEN,78,1787,10.8,14.3,2009
NJN,80,2946,19.3,26.8,2009
Tm,G,MP,PER,USG%,2009
MIA,82,2626,13.3,16.3,2009
NOH,45,1445,13.4,13.7,2009
NYK,82,2735,12.9,20.5,2009
ATL,2,15,5.7,24.6,2009
UTA,26,201,5.8,10.9,2009
MIN,31,422,3.3,10.1,2009
TOT,48,890,9.5,16.6,2009
NYK,9,75,5.0,18.5,2009
LAC,39,815,9.9,16.4,2009
OKC,71,1831,14.8,13.5,2009
MEM,82,2508,14.3,17.9,2009
TOT,30,171,7.6,24.8,2009
ORL,21,146,7.6,23.3,2009
HOU,9,25,7.4,33.5,2009
MIA,75,1833,10.3,18.2,2009
TOT,65,2479,15.1,22.8,2009
NYK,11,392,15.7,23.9,2009
GSW,54,2087,15.0,22.6,2009
NYK,2,23,10.8,20.6,2009
TOT,63,1174,10.4,15.8,2009
MEM,7,44,13.2,24.3,2009
WAS,56,1130,10.3,15.5,2009
TOT,14,100,14.2,23.0,2009
MIL,11,77,17.2,22.6,2009
SAS,3,23,4.3,24.1,2009
NYK,3,12,2.8,19.3,2009
PHI,82,2036,13.2,13.6,2009
DAL,80,1836,15.7,10.4,2009
TOT,74,1021,12.1,15.9,2009
WAS,13,288,10.8,11.5,2009
NOH,61,733,12.6,17.7,2009
IND,54,1700,12.8,21.5,2009
Tm,G,MP,PER,USG%,2009
GSW,14,111,12.3,18.3,2009
LAC,65,2248,14.5,25.2,2009
BOS,76,1637,10.7,17.1,2009
LAC,27,320,10.7,17.9,2009
LAC,36,785,7.1,17.4,2009
CHI,49,1665,14.7,20.0,2009
TOT,81,2754,14.4,19.7,2009
PHO,22,538,12.5,15.5,2009
CHA,59,2216,14.9,20.8,2009
MIA,63,851,6.4,13.3,2009
IND,55,719,13.7,12.5,2009
TOT,29,215,20.3,23.2,2009
POR,19,73,11.4,21.8,2009
SAC,10,142,24.9,23.8,2009
TOT,75,1036,9.7,10.8,2009
DAL,34,452,8.9,8.3,2009
CHA,41,584,10.3,12.7,2009
WAS,50,816,9.3,19.1,2009
NJN,77,2074,13.6,17.4,2009
HOU,3,6,16.1,15.5,2009
TOT,27,300,10.2,19.8,2009
SAC,20,227,8.0,19.9,2009
TOR,7,73,17.0,19.4,2009
NJN,44,585,12.2,18.7,2009
PHO,55,728,9.8,19.7,2009
TOT,68,1155,13.5,14.6,2009
CHA,20,427,10.6,12.9,2009
PHO,48,728,15.2,15.6,2009
NYK,79,2906,12.2,14.9,2009
SAS,75,2524,24.4,28.5,2009
Tm,G,MP,PER,USG%,2009
IND,18,495,14.4,26.3,2009
OKC,74,2885,20.8,28.3,2009
GSW,25,892,14.5,25.8,2009
MIL,59,977,10.3,10.8,2009
NOH,31,373,6.0,17.3,2009
ATL,80,1840,11.1,14.2,2009
PHI,79,1137,10.4,13.0,2009
LAL,65,1192,9.9,19.6,2009
SAS,3,54,0.4,16.9,2009
CHA,82,3086,13.7,21.9,2009
POR,78,1993,15.5,18.4,2009
UTA,21,156,13.0,15.6,2009
SAS,81,2336,11.4,16.1,2009
LAL,82,2441,12.1,14.7,2009
IND,74,2258,16.6,23.5,2009
IND,74,1828,13.0,12.0,2009
MIN,70,2494,13.7,22.6,2009
TOT,10,62,19.7,12.4,2009
ORL,9,59,21.0,13.0,2009
MEM,1,3,-6.3,0.0,2009
POR,63,746,10.0,19.7,2009
MIL,67,941,12.2,15.0,2009
Tm,G,MP,PER,USG%,2009
NYK,28,412,13.4,16.0,2009
SAC,65,1975,14.1,19.4,2009
ATL,16,98,1.5,19.5,2009
BOS,57,1772,21.2,23.4,2009
MEM,82,2521,16.7,18.3,2009
LAL,81,2999,22.2,20.4,2009
MEM,79,2945,15.3,25.6,2009
DAL,43,708,7.0,10.9,2009
CLE,75,1795,10.1,16.5,2009
BOS,6,8,26.0,23.3,2009
MIL,6,43,15.5,14.6,2009
SAS,44,1181,22.9,27.2,2009
MIN,82,2614,12.5,20.4,2009
TOT,51,1264,16.3,23.5,2009
CHI,31,918,15.3,21.9,2009
SAC,1,26,18.7,22.2,2009
SAS,19,320,18.8,28.2,2009
CHI,82,2999,17.0,25.0,2009
LAC,78,2677,14.9,20.7,2009
ORL,63,794,17.0,13.5,2009
TOR,78,1541,11.9,18.7,2009
IND,52,684,8.5,20.9,2009
IND,67,2424,21.8,29.6,2009
Tm,G,MP,PER,USG%,2009
CHI,56,715,11.5,14.5,2009
DAL,38,376,11.4,27.7,2009
OKC,78,2873,13.9,21.2,2009
PHI,81,1828,11.1,18.9,2009
SAC,55,725,5.2,17.8,2009
MEM,19,120,19.7,20.7,2009
SAS,15,155,12.0,20.0,2009
DET,67,2279,16.9,27.0,2009
UTA,63,693,12.3,19.5,2009
TOT,73,2546,15.9,25.7,2009
GSW,5,166,8.8,20.9,2009
NYK,68,2380,16.4,26.0,2009
NJN,69,2494,21.6,28.4,2009
TOT,39,348,6.5,16.5,2009
LAC,28,312,6.1,16.3,2009
DEN,11,36,9.8,18.3,2009
MIA,75,2560,13.1,14.7,2009
NJN,53,1094,7.2,9.9,2009
SAC,77,2259,13.0,20.2,2009
HOU,71,858,7.8,7.9,2009
NJN,74,1832,10.8,16.6,2009
WAS,6,175,14.9,17.7,2009
TOT,32,498,9.9,16.8,2009
HOU,22,322,9.8,17.9,2009
MIA,10,176,10.2,14.8,2009
DET,59,630,11.4,17.8,2009
Tm,G,MP,PER,USG%,2009
IND,70,1009,16.1,23.3,2009
CLE,62,705,12.5,18.0,2009
DEN,77,2510,18.8,18.1,2009
SAS,77,1270,11.6,19.5,2009
PHO,82,2445,15.2,17.5,2009
OKC,1,2,88.3,22.1,2009
CHI,51,1339,13.9,18.1,2009
TOT,45,444,12.9,15.7,2009
CHA,18,184,15.3,15.9,2009
DAL,27,260,11.3,15.5,2009
ATL,67,2242,17.0,16.4,2009
BOS,81,1479,15.4,20.1,2009
ORL,79,2821,25.4,26.1,2009
DAL,52,1663,17.0,26.7,2009
TOT,42,472,10.9,18.8,2009
DEN,3,22,9.6,4.0,2009
CHA,39,450,10.9,19.5,2009
TOT,55,1479,13.4,20.6,2009
CHI,30,792,14.4,21.4,2009
NYK,25,687,12.3,19.7,2009
TOR,29,265,16.3,20.7,2009
CHI,28,266,7.9,17.3,2009
ATL,16,92,12.1,12.3,2009
PHI,82,3269,18.4,22.3,2009
CLE,65,1765,18.0,23.8,2009
LAL,23,181,13.9,17.8,2009
Tm,G,MP,PER,USG%,2009
TOT,57,2093,15.8,25.7,2009
DEN,3,123,15.2,22.1,2009
DET,54,1970,15.9,25.9,2009
PHI,71,861,7.6,13.2,2009
IND,82,2716,13.1,18.5,2009
SAC,71,1484,12.4,18.0,2009
CLE,51,430,7.2,12.7,2009
GSW,59,2339,16.1,25.2,2009
NYK,2,10,12.5,39.2,2009
CLE,81,3054,31.7,33.8,2009
TOT,61,1649,9.7,17.8,2009
NOH,8,74,5.8,18.8,2009
WAS,53,1575,9.9,17.8,2009
WAS,81,3096,20.6,25.9,2009
MEM,53,605,7.3,16.4,2009
TOR,6,19,-7.6,14.6,2009
MIN,50,1836,23.1,28.9,2009
CHA,6,84,12.7,18.0,2009
MIL,82,2939,15.4,24.6,2009
NYK,56,1310,9.4,12.5,2009
NJN,61,1421,10.9,20.5,2009
DET,62,911,13.5,11.1,2009
ORL,80,1481,10.3,15.5,2009
ATL,79,3124,18.2,26.6,2009
Tm,G,MP,PER,USG%,2009
TOT,10,55,3.4,10.5,2009
CHA,2,13,-1.5,0.0,2009
CHI,8,42,5.0,13.8,2009
CLE,4,14,-9.3,26.2,2009
DEN,79,1426,9.0,14.7,2009
MIL,18,108,6.2,16.6,2009
CHA,6,52,8.0,12.4,2009
LAC,52,1495,10.4,12.8,2009
MIA,40,630,8.4,13.0,2009
ATL,63,675,12.0,11.8,2009
LAC,53,771,14.1,13.9,2009
LAC,31,921,14.4,20.9,2009
TOR,80,1831,8.9,17.4,2009
DAL,81,2886,16.9,13.5,2009
CLE,50,277,11.0,18.3,2009
UTA,67,1831,16.8,20.3,2009
DEN,82,1824,13.2,20.0,2009
UTA,74,938,9.5,13.5,2009
UTA,78,1874,12.1,16.9,2009
UTA,48,565,15.2,18.5,2009
OKC,46,1141,13.6,18.9,2009
GSW,40,442,11.8,16.3,2009
Tm,G,MP,PER,USG%,2009
HOU,69,1467,17.7,18.1,2009
ATL,55,560,10.6,16.3,2009
ORL,77,1939,10.7,15.5,2009
NYK,81,2824,19.0,19.2,2009
ORL,79,2859,16.8,22.0,2009
TOT,12,231,12.1,14.2,2009
MIA,4,41,5.4,14.6,2009
OKC,8,190,13.5,14.1,2009
NJN,82,2501,17.9,20.3,2009
PHO,60,614,11.6,14.0,2009
MIN,81,2048,18.3,21.0,2009
TOT,77,1679,14.4,18.1,2009
MEM,49,1071,14.1,18.4,2009
HOU,28,608,15.0,17.5,2009
TOT,44,521,10.3,16.8,2009
MIL,30,392,10.6,16.8,2009
ORL,14,129,9.4,16.6,2009
MIN,19,116,-0.1,7.3,2009
GSW,51,1588,16.9,25.2,2009
MIA,55,709,10.6,12.5,2009
BOS,23,414,4.4,17.3,2009
TOT,69,2470,16.0,18.1,2009
MIA,42,1516,15.7,16.7,2009
TOR,27,954,16.4,20.2,2009
NOH,60,838,8.8,12.6,2009
PHI,25,189,18.9,19.7,2009
CHA,33,266,9.2,17.2,2009
DEN,66,2111,13.6,17.7,2009
Tm,G,MP,PER,USG%,2009
SAC,51,1947,19.2,27.4,2009
OKC,39,1064,7.1,15.7,2009
SAS,82,2496,11.9,18.9,2009
DET,78,1408,15.8,14.7,2009
CHA,24,301,6.2,20.8,2009
MEM,82,3120,14.2,24.5,2009
MIL,82,2114,12.3,14.3,2009
TOT,58,1101,13.0,25.1,2009
MIN,34,636,9.9,26.4,2009
SAC,24,465,17.2,23.3,2009
DET,62,1866,16.6,15.7,2009
WAS,75,1143,17.0,20.7,2009
HOU,35,1181,16.3,24.5,2009
WAS,79,2072,10.8,10.1,2009
IND,33,279,12.5,15.7,2009
TOT,22,283,14.5,23.4,2009
SAS,3,20,35.8,29.3,2009
TOR,19,263,12.9,23.0,2009
LAL,18,105,10.0,22.2,2009
UTA,72,1623,11.8,18.4,2009
MEM,34,298,16.1,21.0,2009
MEM,61,1034,13.8,16.3,2009
PHI,82,2976,18.6,21.8,2009
TOT,70,2100,16.7,18.4,2009
SAC,43,1354,15.7,17.9,2009
CHI,27,746,18.6,19.4,2009
Tm,G,MP,PER,USG%,2009
MIN,73,2356,13.8,14.5,2009
UTA,76,2290,18.6,20.0,2009
HOU,77,2589,22.7,26.2,2009
LAC,11,365,10.3,21.5,2009
CHA,39,341,7.7,19.6,2009
TOT,80,2068,13.3,12.4,2009
TOR,54,1379,14.2,12.6,2009
MIA,26,689,11.6,12.0,2009
TOT,70,1202,8.9,10.6,2009
SAC,46,746,8.6,10.0,2009
BOS,24,456,9.3,11.7,2009
ATL,23,89,1.8,13.6,2009
TOT,52,711,5.7,17.5,2009
CHA,44,667,5.8,17.6,2009
LAL,8,44,2.9,15.9,2009
GSW,67,1515,14.7,17.7,2009
IND,73,2482,17.8,16.9,2009
ATL,80,1975,14.7,24.3,2009
HOU,9,96,10.8,11.1,2009
NJN,27,319,7.7,14.9,2009
PHO,74,2484,19.5,21.1,2009
GSW,13,171,6.5,18.8,2009
ORL,42,1309,20.6,23.2,2009
IND,70,1214,14.1,18.5,2009
TOT,4,14,8.8,31.0,2009
CHI,2,5,-3.5,35.7,2009
NYK,2,9,15.7,28.4,2009
CHI,80,1938,16.5,12.3,2009
Tm,G,MP,PER,USG%,2009
TOT,76,1991,12.2,20.1,2009
CHI,53,1278,11.4,20.1,2009
SAC,23,713,13.6,20.0,2009
LAC,71,1161,13.5,16.8,2009
DAL,81,3050,23.1,30.3,2009
TOT,39,255,11.8,20.9,2009
BOS,26,108,9.5,23.0,2009
TOR,13,147,13.5,19.3,2009
TOT,68,2027,15.4,23.2,2009
TOR,41,1216,15.4,23.5,2009
MIA,27,811,15.5,22.7,2009
PHO,75,2252,22.3,24.2,2009
SAS,54,677,10.6,11.3,2009
POR,61,1314,18.1,19.3,2009
LAL,78,2316,16.6,18.1,2009
CHA,82,2691,18.0,18.9,2009
UTA,72,2409,17.5,21.7,2009
MIN,50,850,9.9,12.0,2009
POR,81,2246,15.1,22.0,2009
ATL,77,1473,14.1,16.3,2009
TOR,80,2637,12.1,16.3,2009
SAS,72,2456,23.4,31.7,2009
NOH,78,3002,30.0,27.5,2009
CLE,66,1053,8.6,15.5,2009
WAS,32,277,14.5,20.3,2009
BOS,76,2253,13.2,14.8,2009
Tm,G,MP,PER,USG%,2009
NOH,43,515,10.7,19.3,2009
TOT,49,559,8.1,17.2,2009
OKC,22,342,9.3,17.4,2009
DEN,27,217,6.4,16.9,2009
BOS,81,3035,17.7,25.4,2009
ORL,54,1329,11.6,18.4,2009
NOH,75,2140,10.8,15.0,2009
BOS,70,1227,17.2,20.2,2009
LAL,60,703,9.9,19.5,2009
UTA,52,738,8.5,17.2,2009
DET,82,3057,15.0,19.2,2009
BOS,47,366,7.6,16.5,2009
POR,82,1952,15.4,10.2,2009
MIA,66,962,12.9,17.0,2009
TOT,78,1445,11.0,18.6,2009
LAL,46,771,11.6,15.6,2009
CHA,32,674,10.2,22.2,2009
GSW,63,1129,16.9,21.7,2009
POR,10,37,19.4,26.4,2009
TOT,50,1757,19.6,28.1,2009
NYK,11,388,19.8,27.1,2009
LAC,39,1369,19.6,28.4,2009
PHI,46,579,11.2,7.4,2009
MIL,33,1203,17.9,25.0,2009
ORL,64,1111,9.9,16.4,2009
TOT,72,2410,16.7,21.5,2009
CHA,14,491,15.8,25.8,2009
PHO,58,1919,16.9,20.4,2009
Tm,G,MP,PER,USG%,2009
ORL,12,93,2.8,27.1,2009
NYK,72,1894,11.6,18.2,2009
MIL,72,2033,12.9,18.0,2009
TOT,29,276,11.4,20.6,2009
NYK,23,253,11.8,19.3,2009
CHI,6,23,8.0,34.9,2009
NYK,74,2209,18.9,25.6,2009
POR,80,1225,12.5,18.5,2009
BOS,80,2642,18.8,19.2,2009
CHI,81,3000,16.0,22.6,2009
TOT,38,470,5.3,17.7,2009
NYK,18,160,-1.9,17.1,2009
OKC,20,310,9.0,18.1,2009
MEM,68,1164,6.9,12.6,2009
POR,78,2903,24.0,27.4,2009
POR,11,35,10.3,13.3,2009
IND,75,1803,9.0,16.4,2009
PHI,25,199,6.3,16.0,2009
TOT,79,2959,16.0,21.3,2009
SAC,53,1980,16.0,21.9,2009
CHI,26,979,16.0,20.2,2009
TOT,18,83,5.3,20.6,2009
DEN,6,24,2.9,27.8,2009
LAC,10,51,9.2,17.2,2009
NYK,2,8,-12.6,21.1,2009
BOS,39,504,7.4,12.4,2009
HOU,82,2488,17.0,19.3,2009
TOT,66,1453,12.1,13.8,2009
CHI,43,735,11.7,14.0,2009
OKC,23,718,12.5,13.7,2009
TOT,6,29,32.9,26.5,2009
OKC,5,23,33.2,26.8,2009
NYK,1,6,32.0,25.0,2009
Tm,G,MP,PER,USG%,2009
MIL,79,2173,17.6,22.4,2009
DET,8,20,4.8,28.3,2009
NJN,71,1729,12.0,14.3,2009
TOT,18,84,10.8,18.1,2009
CHI,11,61,18.0,19.8,2009
SAC,7,23,-8.3,13.4,2009
TOT,2,13,12.8,23.5,2009
PHO,1,2,-26.0,22.0,2009
NYK,1,11,19.8,23.7,2009
TOT,37,303,6.7,17.8,2009
PHO,13,122,8.5,16.1,2009
CHA,24,181,5.5,18.9,2009
DAL,62,884,16.4,15.1,2009
LAC,51,843,10.6,14.5,2009
MIN,74,1460,16.9,22.5,2009
DEN,81,2245,16.8,24.2,2009
TOT,57,1102,13.8,16.2,2009
OKC,36,691,13.2,16.4,2009
CLE,21,411,14.8,15.8,2009
ATL,69,2421,17.2,22.6,2009
TOT,53,712,12.5,20.2,2009
TOR,39,544,12.5,20.4,2009
SAC,14,168,12.6,19.6,2009
WAS,77,1521,13.9,17.1,2009
PHI,79,1263,17.9,21.9,2009
DAL,10,162,3.4,20.4,2009
WAS,32,886,6.9,14.9,2009
NOH,61,2089,12.5,18.8,2009
PHO,53,1948,20.3,24.2,2009
DET,79,2517,14.8,23.0,2009
Tm,G,MP,PER,USG%,2009
OKC,26,343,11.5,11.1,2009
TOT,19,185,6.8,20.3,2009
NJN,6,64,6.6,19.6,2009
PHO,13,121,6.8,20.6,2009
CLE,74,1527,12.1,15.4,2009
LAC,51,771,10.1,22.2,2009
MIN,75,2095,10.8,19.6,2009
DAL,74,2491,19.3,25.5,2009
WAS,26,306,10.1,14.0,2009
SAC,8,62,8.8,6.5,2009
SAS,79,1404,14.0,12.6,2009
TOT,64,1247,12.2,19.9,2009
LAC,10,220,9.1,24.6,2009
NYK,36,773,13.4,18.8,2009
CHI,18,254,11.5,19.1,2009
CHI,79,2175,15.9,19.4,2009
SAC,82,2303,13.9,19.3,2009
LAC,71,2654,12.6,22.6,2009
SAS,19,208,7.6,17.8,2009
PHO,30,282,13.0,23.3,2009
GSW,79,1696,14.5,12.4,2009
ORL,77,2815,14.8,23.0,2009
SAS,67,1035,9.5,16.2,2009
SAC,73,2270,12.3,18.2,2009
TOR,72,890,9.8,21.3,2009
Tm,G,MP,PER,USG%,2009
CLE,81,2306,14.6,14.2,2009
SAS,30,292,7.6,16.2,2009
MIL,78,2095,18.6,28.5,2009
TOR,38,240,0.4,13.1,2009
LAL,80,1293,12.6,16.0,2009
MIA,79,3048,30.4,36.2,2009
HOU,63,1225,14.7,23.6,2009
BOS,29,216,10.9,18.6,2009
CLE,56,1314,12.2,7.8,2009
CHA,71,2669,18.6,20.5,2009
DET,66,2123,14.9,18.5,2009
LAL,65,1166,11.3,15.1,2009
MEM,82,2029,16.9,22.0,2009
GSW,77,1883,14.2,16.8,2009
OKC,68,1776,9.5,16.3,2009
OKC,56,1166,10.2,12.9,2009
POR,1,5,-8.4,9.4,2009
DEN,12,55,-3.9,27.9,2009
NOH,76,2982,18.9,26.5,2009
CLE,64,2152,14.1,16.7,2009
Tm,G,MP,PER,USG%,2009
ATL,53,269,10.0,10.5,2009
OKC,82,2668,15.2,25.8,2009
OKC,7,130,19.8,20.0,2009
HOU,4,11,14.6,33.8,2009
TOT,62,1049,13.3,21.3,2009
OKC,37,719,13.4,22.2,2009
NYK,25,330,13.2,19.2,2009
OKC,41,636,8.3,18.8,2009
UTA,68,2505,21.1,24.7,2009
CLE,10,20,14.1,30.7,2009
PHI,81,1919,16.3,27.7,2009
GSW,9,54,3.7,18.7,2009
SAS,2,3,53.0,32.3,2009
ATL,61,2093,16.0,18.2,2009
CLE,81,2834,17.2,23.4,2009
NJN,33,366,8.8,13.6,2009
DAL,15,170,7.5,17.8,2009
TOT,45,512,13.7,19.2,2009
SAC,30,305,12.2,19.6,2009
MIN,15,207,16.0,18.6,2009
HOU,69,2452,15.6,24.5,2009
DAL,65,1552,8.6,15.6,2009
GSW,39,688,18.7,19.0,2009
MIA,6,73,3.7,18.4,2009
Tm,G,MP,PER,USG%,2009
NOH,54,772,12.6,18.1,2009
CLE,17,125,4.0,14.9,2009
WAS,82,1837,13.1,23.1,2009
PHI,75,2580,15.3,20.5,2009
LAL,10,28,-8.6,22.0,2009
DEN,82,2221,10.9,14.0,2010
CHA,6,30,6.3,19.3,2010
POR,78,2922,18.2,22.9,2010
CHI,8,29,2.8,11.3,2010
DEN,51,456,5.9,14.0,2010
BOS,80,2819,15.2,20.2,2010
BOS,54,889,14.2,19.6,2010
TOT,52,1421,8.2,18.8,2010
NJN,27,766,8.7,21.7,2010
MIA,25,655,7.7,15.4,2010
PHO,79,1168,14.4,14.6,2010
DEN,76,1695,15.8,10.8,2010
HOU,63,891,12.1,20.2,2010
OKC,1,15,-1.7,12.0,2010
ORL,63,911,18.1,24.4,2010
DEN,69,2634,22.2,33.4,2010
MIA,80,1322,10.2,8.7,2010
WAS,32,1169,18.7,31.9,2010
HOU,72,2629,13.3,21.2,2010
TOT,33,335,6.9,15.5,2010
NOH,18,239,7.5,14.4,2010
SAC,6,56,8.4,13.3,2010
HOU,9,40,1.1,25.3,2010
MIA,72,1585,12.3,13.9,2010
MEM,32,457,10.5,17.4,2010
Tm,G,MP,PER,USG%,2010
DET,40,644,8.3,14.4,2010
CHA,80,1472,11.2,17.9,2010
POR,39,405,12.1,10.1,2010
GSW,9,231,19.8,19.9,2010
DEN,13,91,6.6,13.0,2010
TOR,22,244,15.3,19.8,2010
PHO,44,786,14.0,24.9,2010
DAL,78,1546,12.8,19.9,2010
TOR,80,2799,15.5,22.3,2010
ORL,81,2097,13.6,16.2,2010
NYK,7,232,14.7,17.9,2010
ORL,50,648,16.5,20.9,2010
NJN,15,134,6.1,16.2,2010
HOU,67,2168,11.1,11.4,2010
POR,37,918,17.3,16.4,2010
POR,74,1304,14.3,24.9,2010
MIA,78,2328,16.1,25.8,2010
DAL,56,700,18.5,24.7,2010
TOR,66,1121,12.6,20.1,2010
MIL,71,1611,7.9,14.8,2010
Tm,G,MP,PER,USG%,2010
TOT,6,180,13.8,17.3,2010
CHA,5,157,12.8,18.2,2010
GSW,1,23,20.6,11.2,2010
NYK,25,292,10.8,21.6,2010
ATL,80,2195,12.7,16.1,2010
GSW,33,763,13.0,10.1,2010
DEN,73,2490,20.2,24.3,2010
SAS,82,1494,17.7,20.8,2010
TOT,80,2159,11.6,14.5,2010
POR,51,1397,11.2,14.8,2010
LAC,29,762,12.3,14.1,2010
WAS,81,2256,17.6,25.8,2010
SAS,79,1559,7.7,11.0,2010
MIL,69,2229,20.7,23.3,2010
SAS,65,1161,14.9,17.0,2010
NJN,63,1045,13.7,12.5,2010
UTA,78,2673,21.3,24.8,2010
TOR,70,2526,25.0,28.7,2010
OKC,1,8,31.3,10.5,2010
WAS,67,1117,12.9,20.7,2010
PHI,76,2297,15.7,21.7,2010
MIN,82,2482,12.1,21.5,2010
TOT,58,1742,12.5,13.9,2010
UTA,53,1662,12.8,14.1,2010
MEM,5,80,5.9,9.4,2010
TOT,21,95,4.9,14.6,2010
PHI,7,36,0.4,17.6,2010
MIL,14,59,7.6,12.9,2010
Tm,G,MP,PER,USG%,2010
SAC,52,654,12.4,10.4,2010
HOU,82,2919,16.0,25.7,2010
TOT,45,519,9.3,25.4,2010
NOH,22,328,10.0,25.0,2010
LAC,23,191,8.2,26.1,2010
CHA,57,535,12.6,17.2,2010
TOT,50,1060,10.0,19.8,2010
NOH,39,967,10.9,19.8,2010
CHI,11,93,0.4,19.8,2010
DET,48,660,7.9,14.7,2010
LAL,82,1700,12.4,18.8,2010
LAL,73,2835,21.9,32.3,2010
HOU,74,1488,14.1,19.4,2010
TOT,74,2783,13.7,22.1,2010
WAS,47,1853,13.5,22.0,2010
DAL,27,930,14.2,22.3,2010
LAC,82,2702,10.7,17.0,2010
LAL,65,1977,20.2,20.8,2010
DET,63,1667,13.8,20.1,2010
TOR,68,1817,16.5,17.9,2010
TOT,74,2314,17.9,12.8,2010
LAC,51,1596,18.3,13.0,2010
POR,23,718,17.0,12.3,2010
MIN,29,267,6.9,8.3,2010
PHI,68,857,12.7,17.6,2010
MEM,71,795,8.5,14.8,2010
DAL,25,121,7.1,22.7,2010
DEN,54,859,10.3,12.6,2010
Tm,G,MP,PER,USG%,2010
ORL,75,2310,17.1,25.2,2010
SAC,77,1931,13.0,19.4,2010
MIA,73,1807,10.7,16.3,2010
CHA,51,1163,12.5,14.0,2010
NYK,65,2320,13.7,20.2,2010
PHO,51,383,8.5,21.9,2010
PHO,34,261,3.7,8.8,2010
ATL,24,115,0.9,11.6,2010
LAC,43,470,5.7,16.3,2010
NOH,76,2109,16.5,23.1,2010
OKC,75,1557,13.1,12.1,2010
MEM,80,2569,13.9,18.4,2010
HOU,5,36,-2.4,18.3,2010
HOU,15,44,2.4,32.2,2010
MIA,45,691,7.5,19.6,2010
ATL,79,2460,18.4,25.8,2010
POR,63,707,14.3,16.8,2010
NYK,7,62,-1.9,30.2,2010
LAC,1,0,,,2010
GSW,80,2896,16.3,21.8,2010
Tm,G,MP,PER,USG%,2010
PHI,82,2124,16.8,15.1,2010
DAL,55,1280,14.0,11.4,2010
BOS,51,937,9.6,15.8,2010
LAC,75,2523,17.4,24.3,2010
BOS,54,933,11.5,19.7,2010
WAS,2,8,33.3,27.6,2010
LAC,36,499,8.5,16.8,2010
DET,69,915,12.8,18.5,2010
MIL,75,2279,12.9,18.0,2010
CHI,70,2651,16.1,21.9,2010
TOR,77,1664,12.5,18.1,2010
CHA,82,2906,12.8,16.2,2010
MIA,6,44,-3.7,13.9,2010
TOT,9,51,7.6,10.5,2010
IND,4,25,7.9,12.1,2010
POR,5,26,7.3,8.9,2010
CHA,27,262,7.8,8.0,2010
NJN,53,971,11.6,19.4,2010
TOT,15,106,9.8,13.1,2010
HOU,7,54,11.5,13.0,2010
SAC,8,52,7.9,13.1,2010
NYK,56,1087,14.9,19.8,2010
NJN,67,1730,11.5,19.6,2010
PHO,80,1442,14.8,21.1,2010
Tm,G,MP,PER,USG%,2010
PHO,82,1991,13.6,13.7,2010
NYK,67,2072,10.7,13.1,2010
SAS,78,2438,24.7,26.0,2010
IND,67,1486,13.1,20.7,2010
OKC,82,3239,26.2,32.0,2010
MIN,76,1384,9.6,17.4,2010
GSW,64,2647,16.7,29.5,2010
TOT,12,66,5.5,12.5,2010
MIL,11,62,5.4,10.9,2010
PHI,1,4,6.3,37.8,2010
ATL,79,1317,12.2,15.4,2010
TOR,28,311,11.4,17.2,2010
SAC,72,2677,18.2,26.2,2010
LAL,82,1474,12.3,19.0,2010
CHA,80,2643,15.2,19.2,2010
POR,62,1441,13.1,17.7,2010
UTA,49,408,9.7,15.8,2010
TOT,46,709,9.0,13.8,2010
SAS,25,395,6.5,13.2,2010
BOS,21,314,12.1,14.6,2010
LAL,82,2227,9.3,14.0,2010
MIN,81,2339,13.0,24.2,2010
IND,47,1189,13.4,21.0,2010
IND,16,255,9.6,11.1,2010
Tm,G,MP,PER,USG%,2010
WAS,70,1667,13.2,21.1,2010
PHO,81,2190,15.0,16.7,2010
MIL,32,314,10.5,16.6,2010
UTA,32,217,17.3,24.0,2010
NYK,81,2747,14.8,19.3,2010
SAC,25,575,12.4,15.7,2010
BOS,69,2060,19.4,22.1,2010
MEM,69,2469,19.3,16.9,2010
LAL,65,2403,22.9,21.4,2010
MEM,80,3175,16.2,22.5,2010
WAS,11,182,16.2,20.4,2010
GSW,45,761,11.6,13.0,2010
CLE,56,1068,11.3,14.2,2010
CHI,82,2204,13.8,16.7,2010
TOT,32,239,9.2,16.7,2010
BOS,21,99,7.3,15.8,2010
NYK,11,140,10.5,17.4,2010
MEM,2,5,30.9,8.8,2010
SAS,75,2150,22.5,25.8,2010
MIN,76,2210,12.1,17.4,2010
TOT,70,1755,16.9,21.0,2010
DAL,46,1030,16.1,19.8,2010
LAC,24,725,18.0,22.6,2010
DET,62,1730,14.0,24.5,2010
Tm,G,MP,PER,USG%,2010
LAC,62,2229,14.1,21.5,2010
ORL,81,1088,13.9,13.0,2010
DEN,63,759,10.6,16.2,2010
CHA,70,804,11.2,17.6,2010
IND,62,2278,19.8,28.7,2010
TOT,32,311,16.6,16.4,2010
CHI,8,50,7.0,22.5,2010
NOH,24,261,18.4,15.3,2010
CLE,20,115,12.3,18.9,2010
OKC,82,3043,13.8,19.2,2010
